WL	WN	Time	Start	
573.740000	34858.995364	2079354577.000000	0.028678	
573.745000	34858.691579	2079358044.000000	0.028670	
573.750000	34858.387800	2079361706.000000	0.026913	
573.755000	34858.084025	2079365986.000000	0.024579	
573.760000	34857.780257	2079370067.000000	0.029555	
573.765000	34857.476493	2079373968.000000	0.028709	
573.770000	34857.172735	2079377666.000000	0.029523	
573.775000	34856.868982	2079381442.000000	0.025883	
573.780000	34856.565234	2079385160.000000	0.026924	
573.785000	34856.261492	2079389222.000000	0.029069	
573.790000	34855.957755	2079393351.000000	0.024513	
573.795000	34855.654023	2079397375.000000	0.027398	
573.800000	34855.350296	2079401399.000000	0.025614	
573.805000	34855.046575	2079405405.000000	0.029218	
573.810000	34854.742859	2079409247.000000	0.025901	
573.815000	34854.439149	2079413391.000000	0.025522	
573.820000	34854.135443	2079417189.000000	0.023463	
573.825000	34853.831743	2079420919.000000	0.026073	
573.830000	34853.528048	2079424843.000000	0.026318	
573.835000	34853.224359	2079429113.000000	0.026278	
573.840000	34852.920675	2079433156.000000	0.024464	
573.845000	34852.616996	2079437404.000000	0.025565	
573.850000	34852.313322	2079441574.000000	0.026006	
573.855000	34852.009654	2079445927.000000	0.024107	
573.860000	34851.705991	2079449589.000000	0.025443	
573.865000	34851.402333	2079453547.000000	0.026238	
573.870000	34851.098681	2079457260.000000	0.024995	
573.875000	34850.795034	2079461348.000000	0.024884	
573.880000	34850.491392	2079465369.000000	0.024810	
573.885000	34850.187755	2079469098.000000	0.024766	
573.890000	34849.884124	2079473139.000000	0.024319	
573.895000	34849.580498	2079477332.000000	0.025737	
573.900000	34849.276878	2079480873.000000	0.027229	
573.905000	34848.973262	2079484579.000000	0.025024	
573.910000	34848.669652	2079488304.000000	0.025126	
573.915000	34848.366047	2079491961.000000	0.026387	
573.920000	34848.062448	2079495924.000000	0.025344	
573.925000	34847.758854	2079500070.000000	0.024908	
573.930000	34847.455265	2079504300.000000	0.022983	
573.935000	34847.151681	2079508172.000000	0.026570	
573.940000	34846.848103	2079511969.000000	0.029442	
573.945000	34846.544530	2079515512.000000	0.024445	
573.950000	34846.240962	2079519749.000000	0.025767	
573.955000	34845.937399	2079523922.000000	0.023015	
